States,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI
NY,-,1,-,5,42,4,81,3,24,17,-,4,-,10,7,1,1,1,45,9,1,1,3,6,-,-,13,-,1,3,76,1,2,2025,9,1,3,24,5,5,1,3,18,-,14,5,8,5,1
OH,-,-,-,-,1,-,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,1,-,-,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1
OK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
OR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PA,-,-,-,-,1,-,3,-,-,-,-,-,-,2,-,-,-,-,6,1,-,-,-,-,-,-,-,-,-,1,2,-,-,13,-,-,-,23,-,-,-,-,-,1,-,-,-,-,-
RI,-,-,-,2,2,1,18,-,1,1,-,1,-,2,1,-,-,-,34,2,-,1,-,-,-,-,1,-,1,4,3,-,-,4,2,-,-,2,121,-,-,-,1,-,1,3,-,-,-
SC,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
SD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-
TX,-,1,-,-,1,1,5,-,1,-,-,-,-,-,-,-,-,1,3,1,-,-,-,-,-,-,1,-,-,1,-,-,-,6,-,-,-,-,-,-,-,-,13,-,-,-,1,-,-
UT,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VA,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,3,1,-,-,1,-,-,-,1,-,-,1,-,-,-,6,-,-,-,-,1,-,-,-,-,-,8,1,-,-,-
VT,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-
WA,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,1,-,-,1,-,-,-,-,2,-,-
WI,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
WV,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
